drug_id,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,split,true_reversal
drug_10,-0.3218,-1.2836,-0.0086,0.6495,0.5896,-1.1020,-1.0121,-0.9624,-1.0052,-0.2719,0.2620,1.8967,0.1931,1.4334,-1.6294,1.5212,0.7872,0.4349,0.8130,0.6091,1.8870,0.7950,-1.7156,-1.7242,1.5896,-0.0827,1.3041,-0.3379,-0.6466,-0.3384,0.3110,0.1844,-0.6111,0.5299,0.6087,-0.9060,-1.0985,-1.9366,-0.3027,0.0105,test,0.2954
drug_11,-0.6861,-0.5948,-0.1317,0.0291,0.5631,0.8221,0.4319,1.1049,-0.9562,0.5991,0.3682,-1.0306,-0.6684,0.4380,0.0740,-1.2411,-0.5461,1.5067,0.8328,0.0808,1.3315,-0.8959,-0.1689,0.9470,-0.3320,-1.1042,0.5786,1.5828,-2.5062,0.1525,-1.2345,-0.2948,-1.3951,2.5697,-0.6721,0.0438,-0.6970,-0.9779,-0.4490,0.2051,test,0.0618
drug_12,1.7319,0.2836,1.5471,-1.0528,0.0708,-0.4319,-1.5473,3.6839,-0.2396,0.2416,-0.7445,-0.5688,-1.0222,1.0132,-0.3979,-0.1431,0.1788,-1.2115,0.2300,-0.1689,0.4403,-0.3806,0.0384,0.5119,0.9549,-0.6810,0.9607,-0.9741,-0.1865,0.1288,0.1434,-2.4675,-0.9663,-0.1819,0.9132,-0.6959,1.4930,-1.7813,0.0759,0.5333,test,-0.2482
drug_13,0.0175,0.2610,0.9233,-0.7961,0.5828,1.0507,-0.2301,-2.2879,-1.1763,-0.8442,-1.0457,0.4259,-0.7954,2.4505,0.5636,-1.2904,-0.2829,1.5104,0.6722,-1.0069,1.0228,-0.4693,2.1877,-0.5454,0.5894,0.5577,-0.4389,-0.1515,1.1453,0.4920,-0.0595,0.4391,1.7275,0.9212,0.4705,0.3257,-1.5455,0.1337,-0.4812,0.7236,test,0.3141
drug_14,-0.5996,0.4434,-1.0390,0.8847,-0.7193,-0.0280,0.5708,-0.3196,0.0071,1.0481,1.7477,-1.7837,-0.8923,0.6676,0.9292,-0.4684,0.0937,-0.1905,2.2498,-0.1972,-1.1763,-1.5343,-1.2611,1.2876,-0.3845,1.9264,0.6306,0.3785,0.6372,0.7809,0.9088,-0.9644,-0.5506,-0.5414,0.1032,-0.2476,-1.2169,-0.6856,1.7654,2.0970,test,-0.4469
drug_15,-0.8454,0.3762,-0.0358,-0.8363,0.7043,-0.0687,1.6489,0.4517,-0.3071,-2.6156,-0.1013,0.8381,-0.7045,0.8736,0.6750,-1.7445,-0.1936,0.3167,0.7452,0.1529,-0.0148,-0.3424,-0.2870,0.0036,-1.0496,0.6344,-0.3211,0.5160,-0.5002,0.4058,0.1253,0.8807,0.4566,0.9217,-0.1640,-0.0548,-0.2583,-1.2390,-0.1237,1.0751,test,0.1098
drug_16,0.7606,-0.8400,0.2961,0.7422,-1.3417,0.3446,0.3250,0.7400,0.2528,-1.7191,-1.9892,1.9608,-0.3899,1.2577,1.2481,0.0864,-1.1281,1.3514,-0.0367,0.5134,0.4721,0.9421,0.9991,-1.4040,-1.3890,0.1400,0.0090,0.7684,-0.1330,-0.1790,1.9996,1.3576,1.1428,1.0242,-0.7767,-0.0844,-0.0685,-1.0812,-0.8565,0.1589,test,0.2282
drug_17,-1.1963,0.5355,0.4657,-0.2328,-0.3339,0.5951,0.4728,0.3611,-1.2046,-1.6032,2.0170,-0.6448,-0.3598,-1.8027,-0.7864,-0.7237,0.7852,-2.6102,-1.3798,-0.4074,-0.4835,-0.7660,-0.4340,-1.5579,0.2633,1.1808,0.1509,-0.5300,1.2437,0.4821,-1.0134,-0.5660,-0.6009,-0.0449,1.1937,-0.6962,-0.1443,0.1113,-1.1714,-0.4709,test,0.4400
drug_18,0.6028,1.1186,-1.8426,0.6987,-0.2860,1.2741,0.6113,1.9460,0.3051,-0.3908,-0.8179,-1.4141,0.5453,0.5097,0.8053,0.3465,-1.4708,-0.4013,-0.2385,0.1580,0.7536,1.4015,0.2807,-2.0385,-1.0029,-2.1091,-0.7505,-1.1844,0.2346,-0.2184,1.0957,1.0667,-0.4473,0.9342,0.0126,0.4504,1.3233,-1.1345,-0.0658,1.5208,test,0.0573
drug_19,-0.7495,0.2129,0.1301,-0.4106,-1.2837,-0.6778,-0.9636,1.0687,0.2445,0.6942,-1.1662,0.4958,0.1413,1.0366,-0.7072,0.8013,1.3456,1.7820,-0.9116,-1.1091,-1.4360,0.9512,0.5835,0.3381,-0.8491,1.2393,1.5745,-0.0345,-0.1175,1.1759,0.4967,1.3291,-0.3958,0.3357,-0.3309,-0.5625,-0.2909,-0.2800,0.4949,-0.2997,test,-0.4912
drug_20,0.0693,-0.7985,-1.2006,1.4124,-0.9632,1.7930,0.9213,-2.2611,-0.6251,-0.4112,0.0206,-0.1755,-0.5913,1.2386,-0.1246,0.9520,-0.6712,-0.6809,1.3067,-0.2775,-1.0751,-0.1670,1.0310,-0.1583,-0.7026,0.6294,0.9628,-0.2030,-0.3111,-0.3591,2.6442,-0.1847,1.7093,-0.1451,0.3980,-2.0107,0.1744,0.0533,-0.3093,-0.4020,test,0.3233
drug_21,-1.3335,-1.4693,0.1639,-0.6298,-0.0869,-0.1764,-0.4948,-0.7177,1.8167,-1.0882,-0.4972,-0.2899,-1.1280,-0.9457,0.8441,0.9217,0.1299,3.2035,0.8106,1.2193,-0.7967,1.0719,1.6478,-0.3718,1.7687,-0.7935,-1.1081,-0.0425,-0.7877,0.6315,-1.0795,0.0847,-1.9118,-0.0293,1.0280,-0.2583,0.3059,1.0797,-1.0717,-1.2529,test,0.0225
drug_22,0.0800,0.2770,-0.2608,-0.9547,1.1864,-1.1452,-0.2535,-0.0389,0.7093,-0.4387,-0.8009,1.9908,-0.8249,0.7907,-0.1495,-0.4675,-0.0426,-0.2495,0.3044,-2.5082,-0.0251,0.0742,-0.9482,-0.3794,2.2841,1.8262,0.6274,0.2333,-0.2970,1.3738,-0.4363,-0.8064,0.6763,-0.9500,-0.7710,1.4330,-1.5678,-0.0612,0.1172,0.2587,test,0.3814
drug_23,-1.4211,-0.2208,-0.3250,1.9013,0.9813,-0.7422,0.8539,0.6495,-0.1099,-0.2355,-0.2675,-1.5190,-0.6143,0.9278,1.4112,1.8341,-0.3664,0.6123,-2.3480,-0.2616,-1.2319,0.8164,-1.6177,-1.0241,-1.0778,0.3952,0.8185,-0.9031,1.7607,0.1628,-0.8126,0.3489,-0.0134,0.8251,0.3367,2.1651,1.1417,-0.6256,0.7691,0.7557,test,-0.6418
drug_24,-0.9754,-0.7348,-0.7870,-2.4319,0.6217,-0.2084,1.2030,-0.5466,0.0741,0.7209,0.9453,0.3203,-1.0144,2.1790,0.8481,1.3488,1.5794,1.3904,0.4057,0.4719,0.6168,-1.4783,0.7943,-0.9558,0.4123,-0.9918,0.6982,-0.4745,2.4277,0.1951,0.4963,-0.8874,-0.2795,-0.0508,-0.2793,-0.4236,-0.8525,0.7581,-0.3729,-0.7976,test,0.2967
drug_25,0.3574,-0.7943,-0.1693,-0.4982,-0.9014,-0.2159,-0.8016,-1.2290,0.3439,-0.2858,-1.4255,-0.3824,0.1827,0.4289,0.3651,0.2571,0.5823,-0.4796,-0.7769,0.6116,-0.3987,0.0170,0.6354,0.9325,1.1928,-0.6703,-0.3599,0.5553,-1.3940,-1.2331,0.5929,-0.5971,-0.8980,0.7987,0.5186,0.9120,-0.3214,-0.2764,-0.3296,0.3002,test,-0.2062
drug_26,-1.9757,-0.6740,0.6901,-0.7601,-0.0618,0.1309,0.5081,-0.4600,-1.1011,2.4659,-0.6960,1.6920,-1.7092,0.1173,-0.1896,1.8736,1.9856,0.9705,-0.9855,-0.7823,-0.7311,-0.4998,0.2554,-0.7653,-0.2385,1.4570,1.4011,-1.8229,-0.9244,-0.3576,1.2617,-0.3161,1.8581,0.3679,1.3968,-0.8354,-0.3002,1.0120,0.5565,-1.8269,test,-0.1329
drug_27,-0.2660,0.1858,0.6128,-0.6153,1.6928,0.1586,1.4088,0.4057,0.0829,-0.3037,-1.1321,0.8597,0.7362,0.9274,-0.3637,-0.9779,-0.3665,-0.2975,-0.0101,0.9760,-0.8835,-0.4688,0.6705,0.8978,2.1500,0.5275,-0.8202,-1.0110,-0.7655,0.0800,0.2473,-0.0547,-0.5934,-0.1706,-0.0738,0.5933,0.0819,-0.7843,-1.1324,1.4668,test,-0.3645
drug_28,-0.0820,-0.1612,-0.0226,1.1184,-0.3019,0.1838,-0.2281,0.5794,-0.9780,0.2115,0.9986,1.1746,0.5997,0.3005,1.5260,0.7058,1.3576,-1.1664,-1.0618,0.7965,-0.2562,-0.4115,-0.9183,1.4686,-1.1539,0.1158,-1.3487,-0.1581,2.1782,2.4003,-0.4765,-0.9777,1.5797,-0.8270,-1.7258,0.3541,-1.0425,-1.4093,1.0905,-0.7028,test,-0.2868
drug_29,-1.0282,0.1783,-0.1812,1.1140,0.0940,1.5735,1.1032,1.7588,1.0877,0.0838,0.5299,0.0355,-1.5043,-1.1389,0.7188,-2.3022,-0.7970,-1.2442,-0.0591,-1.0011,0.2435,-0.1790,-0.4522,-0.8149,-2.1482,0.0875,-1.2484,-0.2743,0.3609,1.0412,0.6824,1.4627,-1.3718,0.6763,1.5195,0.4019,-1.0706,0.4045,-0.4997,-0.6153,test,0.1001
