g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,label,split
1.5957,-0.2512,2.0550,1.5290,0.7907,0.5870,1.7708,-0.1805,-0.1120,-1.0626,0.4728,1.3448,0.5324,0.4231,-0.2007,0.1696,-1.4251,1.0488,-0.4100,-1.1046,-0.7514,-0.8246,0.8553,1.0582,-1.3577,0.9263,0.8881,-0.5793,-1.4865,-0.7454,-0.6338,0.3425,-0.3577,-2.0283,0.2336,-1.5342,0.9055,-1.2068,-0.6929,-0.8543,0,train
-0.5426,1.2980,4.6816,0.6017,0.3193,-5.3506,-0.5207,-0.5518,-0.9775,3.4251,-0.7411,-3.8175,-1.0444,-2.0575,3.5336,1.3308,0.1748,-0.9766,-2.7051,0.1729,-2.1831,0.2972,0.9271,4.8933,1.1269,-0.4414,1.0524,-2.2591,-1.5370,-0.4053,-1.4238,2.3471,0.5783,-1.0680,-2.0558,1.2983,0.3768,-1.8253,-1.3237,1.0606,1,train
-0.4698,0.6288,0.2632,1.6237,1.1376,-0.4510,0.3490,1.7641,-0.5373,0.4334,1.1908,1.2569,0.5186,-1.3202,-1.2610,0.2475,0.3873,2.5477,-0.8614,1.1378,0.7704,-1.6715,-0.8183,0.1662,-0.4935,-0.1544,0.4701,-0.8094,0.4664,-0.6363,-0.5447,0.5368,-0.5734,0.2872,1.5994,0.0271,-0.1461,0.7353,-0.3656,1.0828,0,train
-1.2829,0.6186,2.1930,-0.7987,1.7697,-3.7438,1.7567,0.6583,1.4530,2.0450,1.1989,-1.7613,-0.1164,-0.1290,5.3173,0.1774,-0.4226,-0.6300,0.4459,0.3305,-2.8285,1.7215,-0.3279,3.2545,1.4592,-1.0040,1.0387,-1.2138,-1.3548,-1.0975,-1.0384,0.6847,0.4527,-1.8562,0.4988,1.4531,-1.6152,-3.3419,-1.9180,0.7792,1,train
-1.9322,-0.4902,1.9153,0.0796,-1.2600,0.2571,-0.9724,-1.6513,-0.7365,0.7369,0.3839,-0.0970,-0.9266,-1.0786,1.3497,0.2446,-0.9517,-2.1109,-1.3700,2.4751,-1.1489,-0.0768,0.2101,-0.1576,-0.2782,-1.3732,-1.0511,1.6887,-0.7564,0.8455,-1.6939,-0.2742,0.2611,1.0365,-1.1227,0.5954,0.3860,-0.7377,0.4772,-0.8980,0,train
-0.7961,-0.0188,0.0718,-0.1096,-1.0001,-4.1444,-0.4251,0.7630,-0.4044,4.5756,-1.1596,-3.6813,1.5512,0.3988,3.6592,-0.8268,0.8044,0.2597,0.6486,0.0253,-1.6762,-0.6491,-0.9638,1.3879,1.1606,-0.7384,-1.0432,-4.3362,-0.4451,-1.2713,-0.2905,2.1957,-0.5513,-0.9595,0.0368,-0.4609,0.1149,-3.1365,0.3402,-2.1893,1,train
-1.4656,-1.8122,1.2193,0.4357,0.4877,0.1232,0.4843,-1.2158,0.9485,-0.5321,0.9857,0.0877,-1.9737,-1.2871,1.1277,-0.1368,-0.3955,0.2426,-0.4251,-0.5445,0.1024,0.1443,1.5167,0.0456,1.8798,1.8027,1.7166,1.0615,0.1305,0.1372,-0.1426,-0.7311,-0.0664,-0.6408,1.6398,0.5344,-0.4465,-1.9156,-0.0533,-0.4163,0,train
-1.0858,-1.1364,1.4970,0.5690,-0.0657,-0.3124,-0.0310,-0.1482,1.4442,2.8575,0.1673,-3.1676,-0.6053,1.4994,3.2462,1.7161,-0.3498,0.0301,-0.8808,0.9672,-4.7564,0.5645,1.0960,3.9769,-0.9398,1.0897,-0.7136,-4.1824,-1.3231,1.1556,1.6485,1.7226,-0.7595,-0.3390,2.5073,1.0044,-0.5425,-4.2862,-0.6726,1.1872,1,train
0.2884,-0.7636,0.7813,0.0083,-1.1747,0.6220,0.8419,-1.9130,1.8262,0.4971,0.7603,-1.8601,-0.7197,-0.3493,1.0771,-1.4596,-0.8838,-2.0297,-0.2411,0.3460,-1.6862,-0.5913,0.5104,1.5854,0.6641,-0.3037,-1.1779,-0.9364,-0.6642,0.1471,-0.0496,1.6671,0.2872,-1.0718,1.5443,0.9491,0.1011,-0.7211,-1.8708,-1.0222,0,train
0.9117,-0.8028,1.7922,0.1956,0.2438,-2.4585,0.6555,1.4090,-0.8393,3.2216,-0.9873,-2.0206,0.1791,0.2433,3.0308,-0.0174,1.1123,0.8754,0.1355,-0.5668,-4.0049,-0.5275,-0.2024,3.0981,2.9808,0.6384,0.7692,-3.7825,-0.7104,-0.3191,0.1922,1.6355,1.6119,-0.5632,1.0783,-2.3359,-0.0070,-2.4896,0.1914,0.6017,1,train
1.8455,1.7312,-0.0583,1.2880,-1.5880,-1.9351,-0.4830,-0.8750,-0.5592,0.1881,3.0249,-0.6608,0.0496,0.2763,-0.0343,0.9309,1.7755,-1.2436,0.1617,-0.2650,0.3563,-1.5317,-1.7579,-2.3166,0.5253,0.1920,0.0736,-2.3666,-0.3736,-0.7552,-1.4137,-0.9155,0.6977,0.5441,-0.0227,0.5144,-0.6035,0.0712,0.0403,0.5544,0,train
-0.0700,-0.1432,3.6610,-0.6449,2.2336,-2.7828,0.4289,2.2916,1.4030,1.3082,0.6953,-1.9221,1.8849,1.3157,3.4454,-1.1772,-0.8707,0.2689,0.5049,-1.0215,-3.4309,-0.4003,0.0606,3.3232,-0.2869,-1.2368,1.2427,-1.6721,-0.1059,1.0247,0.4442,2.8517,0.4815,-0.7633,0.5739,1.0106,-0.8963,-1.9586,2.0898,1.8231,1,train
2.2764,-0.0274,0.6761,0.4756,0.2735,-0.2088,-0.1228,-0.8245,0.1782,-0.0241,0.3202,-0.8551,0.0395,0.0478,0.6042,-1.0633,0.4195,0.9832,0.5972,-0.3686,-0.4913,-0.2363,0.7292,1.5529,-0.1581,-0.6427,0.3758,0.2043,-0.9080,-0.7374,-0.1016,0.6716,-1.1932,-1.0182,0.4991,-1.2247,0.1089,0.3522,-0.1110,-1.0181,0,train
-0.0598,-0.3322,3.4128,-0.8388,1.0915,-4.8448,-0.1763,0.0077,0.9616,2.3895,0.5459,-4.3041,0.7382,1.7373,2.7759,0.4430,-0.9274,0.9732,1.2108,0.0353,-4.1687,0.4024,1.1491,4.0065,0.8132,-1.8305,-0.6798,-1.3280,-1.2260,1.1314,1.8824,4.2996,1.1202,-0.3327,-1.2254,-0.1028,-0.1989,-3.1075,0.6968,-0.1446,1,train
-1.0788,-0.5624,-0.1366,-0.4455,1.0844,-1.1617,0.4920,0.1435,-1.1777,0.0474,-0.0944,0.5014,-0.4501,0.3032,-1.6654,-1.0837,0.7850,1.0417,-0.0129,-0.5990,1.0827,-2.0918,-0.7996,0.6722,0.6526,-1.0323,-1.8874,1.4520,0.1530,-0.8962,0.0546,0.9018,-2.5918,1.1103,0.7401,-2.0810,0.7709,-1.7801,1.1394,0.3985,0,train
2.2524,-0.6107,2.7831,1.0473,-0.6399,-3.6571,-0.3718,-0.0729,-1.0821,3.6353,0.5433,-3.0776,1.7000,-0.3277,4.1960,-0.5466,0.7558,-1.9348,0.1980,-0.1754,-3.8884,-0.6106,-0.3474,2.2089,-2.1929,-0.5963,-0.5496,-3.8144,-1.0577,-0.1357,0.7845,3.1780,-0.4927,1.3575,0.9770,0.9218,1.1555,-3.5909,-0.1294,1.1133,1,train
0.7334,-1.1598,-1.3110,-0.6187,0.4752,1.5008,-1.2224,0.3066,-0.8542,-0.7323,-0.2764,0.6917,0.2129,1.1796,-0.9856,0.8893,0.9300,0.0695,0.4772,-0.5633,-1.0900,-0.4052,-0.6426,2.8901,-0.4851,1.6501,0.2021,0.3122,0.7434,-0.7791,0.9165,0.3764,-1.5158,0.6013,0.5525,0.4527,1.5849,-0.4143,0.5119,0.7483,0,train
-0.9003,1.1998,1.8704,-1.3000,0.5224,-4.5026,-0.1163,-1.6450,0.0691,1.7169,0.3420,-4.4484,0.4486,-0.2664,3.3744,-0.0675,0.1306,-1.3213,-2.5649,0.0341,-3.7656,-0.4545,0.4266,1.4374,-0.7632,-0.6101,-1.0573,-2.0375,-0.1403,-0.8207,-0.9845,4.0687,-0.6595,0.5851,0.4494,-1.8938,-1.0835,-2.9276,0.3420,0.7797,1,train
-1.9669,0.9798,0.3111,0.0209,-1.0766,-0.4654,1.5118,-0.8273,-3.4718,-0.8566,-1.1996,-0.1320,-0.3933,-0.9123,-0.8417,1.0478,-1.4425,1.9566,-0.5440,-1.0927,0.7873,0.5642,-1.0428,0.7487,-1.8397,-0.9237,1.1263,-0.2557,-1.3021,0.5140,0.9168,-0.0223,-1.8068,-0.3463,0.4181,0.7687,1.8531,-0.2527,-0.4824,-0.0383,0,train
1.2062,-0.9416,4.5031,-2.7490,0.7975,-3.8195,0.4591,0.6885,-1.1826,2.1765,0.2406,-2.3078,-0.9300,-0.9916,0.5263,2.5395,-0.1924,-0.2224,-1.4947,0.9300,-3.0620,1.4356,0.8519,3.0796,0.7270,-1.1119,-0.3257,-3.6002,-1.2693,0.0171,-0.1450,4.4810,-3.3528,-0.6721,-0.9185,-0.4641,0.4219,-2.2460,0.0283,-0.4741,1,train
-0.2012,-0.9127,0.3819,0.6887,1.7552,1.2661,-0.8054,-0.4578,-0.9385,0.3060,1.9805,0.7085,-2.1994,-1.2575,-1.2926,0.5151,0.0013,0.2999,1.7816,-0.8271,-0.8476,1.9658,0.3423,-0.7789,-2.0287,-1.5243,-2.4444,0.0683,0.0442,0.9930,-0.1393,-0.6936,-0.7411,1.9012,-1.7657,0.1737,0.0256,0.6167,-0.4046,0.4992,0,train
0.8156,-0.1474,2.9724,-0.1863,-0.9649,-2.8938,-0.3019,0.2102,1.3361,4.1046,-0.4453,-2.6189,0.2949,0.7616,2.8064,0.2657,-0.4688,-0.7846,0.8721,1.2988,-2.1639,0.4358,0.2662,2.6923,-1.7831,0.6634,0.1993,-3.4071,-0.9647,1.2779,-1.8043,4.2632,0.6396,2.3707,-0.7178,-0.0218,-0.5066,-2.8039,-0.2100,-0.7485,1,train
-0.2198,1.7048,-1.0970,0.9694,-0.7860,-0.3559,-0.3267,0.2705,0.8634,1.7499,-0.6364,1.3300,0.9954,0.8126,-0.7593,0.9007,-0.1074,0.3533,-0.2691,0.6641,1.1150,1.1310,-0.2053,0.9954,1.4520,-0.9353,1.4722,-1.3353,0.5427,0.5940,1.4828,0.2788,-0.4807,-0.7968,-1.2512,0.7660,-0.2369,-0.7177,0.5320,-0.7649,0,train
-0.4368,-0.4584,4.6428,1.4628,-0.1580,-3.8199,0.2765,0.0718,0.3489,3.5317,-0.3205,-2.2453,0.8369,0.2106,2.9902,-0.4807,0.6926,-1.0995,-0.1596,-0.7500,-4.2545,0.6037,-0.0257,3.5913,0.8744,-1.4940,-0.0671,-2.4508,0.8323,-1.0850,0.7159,3.1656,1.3558,1.1388,0.5496,2.1485,-0.0013,-2.6734,-0.3407,-0.9404,1,train
-0.7612,-0.7915,1.4588,0.5180,-1.0783,0.5211,0.4702,-0.2281,0.0224,-0.2981,-0.5297,-1.7310,-0.0884,1.2543,1.3984,-0.2721,-0.7293,-0.2066,0.8764,0.3431,-0.5699,0.3535,-0.2012,0.5031,-0.3979,-1.4356,0.0566,0.7417,-1.0801,-0.1047,0.8560,-0.3651,-0.6345,1.9793,0.8087,1.0015,-0.9215,1.5906,-1.6136,-0.5049,0,train
0.7204,1.2952,2.1004,-0.6462,0.1912,-5.0950,0.6218,0.5445,-0.4350,4.2026,0.7544,-2.8189,0.5073,1.4702,2.7151,0.1571,-0.5072,1.0037,-0.3954,0.4602,-2.5837,0.0643,1.6641,3.1417,1.3731,0.8001,1.2779,-3.6841,0.8982,0.7318,-0.5942,3.7780,-0.1244,-0.0345,1.2584,-0.6964,-1.6257,-3.9287,-0.4372,-0.6229,1,train
0.8590,1.5273,0.7969,-1.4412,-0.2960,0.5661,0.4004,-0.7819,-0.8579,0.9307,-1.2854,1.3813,0.0194,0.2896,-1.2844,-0.5738,0.6635,-1.4161,1.9933,-1.3510,-1.1759,0.0415,0.4634,0.7053,-0.3570,-0.1995,-0.2271,-0.5530,-2.4791,0.9245,0.2414,0.1525,-0.6043,0.2414,-0.0127,-0.0738,1.0622,-1.6548,0.2420,-1.0246,0,train
-0.3054,1.4401,2.4643,-0.0959,-0.5682,-2.3878,-0.9409,-1.6165,0.4937,2.2941,-0.3067,-2.3422,-0.8527,-0.3587,2.7166,0.3971,-0.4962,0.9939,2.1525,-0.3925,-1.4510,-2.0258,1.3510,2.3005,0.1319,-0.3262,-0.6112,-4.0677,-0.3790,1.2448,1.0949,2.8556,-0.5070,-0.6740,-1.1520,1.7321,0.6371,-3.0534,-0.4718,-0.9815,1,train
0.9711,-0.8035,1.5157,1.2908,-0.0098,0.4466,-0.7470,-0.1463,-1.2679,0.0856,0.1914,1.2899,0.9099,0.7822,-0.3474,-0.2158,-0.3272,0.2134,-1.8533,0.7401,-1.5043,-0.4947,0.0214,-0.4930,1.5964,-0.0938,1.5088,1.1269,-0.4771,0.3848,1.2464,-0.3197,0.0848,-0.5358,0.0563,-0.3397,0.0793,0.9619,1.3372,0.1278,0,train
0.1939,0.8219,2.5697,-1.0162,1.0659,-4.4880,0.8932,-0.9261,1.7572,1.8342,0.8150,-1.7125,-0.9226,1.4260,2.5623,-1.6937,0.6930,0.6734,-0.1946,-2.4241,-2.7018,-0.2936,-0.3642,2.4523,-1.7184,-0.5444,1.7280,-0.8403,-0.3471,-0.6835,0.3805,4.0827,0.6942,-1.1223,0.1556,0.1347,1.3809,-1.8304,0.5029,1.1675,1,train
-0.3137,0.4784,-2.0316,-0.0227,0.0838,-0.2553,0.7623,1.6822,-0.4279,-0.9022,-0.5802,0.0891,0.5626,-0.8266,0.9593,-0.9835,0.7941,0.4102,0.4451,2.0713,-0.2531,-0.1589,0.4573,0.8285,-1.2850,0.2639,-0.7119,0.6051,1.3147,0.0495,-0.1023,0.1760,-2.8369,0.7397,0.5388,0.1579,-0.3801,-0.7016,-0.1720,1.1648,0,train
-0.0983,1.2936,0.2226,-0.4413,0.2631,-2.8709,-1.5937,-0.6383,1.1998,1.8323,-0.9511,-4.1825,-0.5298,0.6171,3.4612,-1.9491,1.4014,-0.5687,-0.5650,1.6009,-3.4041,-1.1900,-0.6134,2.2284,-0.9692,-0.3199,0.8423,-2.1628,-1.3255,2.6758,-0.9503,3.4483,0.0302,0.7310,-0.3152,0.4383,2.0216,-2.7683,-1.0393,0.3152,1,train
