a,z,T
19.878722,0.249283,92.422875
23.731047,0.09653,113.575634
1.902552,-0.291365,2.634647
23.906301,0.240815,116.774572
12.56482,-0.485341,42.813937
29.14095,0.553991,156.764149
26.310488,-0.887479,129.929313
5.097234,-0.227305,11.675822
25.58136,-0.870351,131.05841
23.819762,-0.786758,114.039132
14.493977,0.172215,55.153672
29.080426,-0.888137,159.166619
7.228331,0.879669,18.448183
24.826898,-0.860147,119.736899
7.197296,0.011499,19.920818
12.307955,0.278094,44.614686
9.005155,-0.043949,27.071378
28.498673,0.506558,146.788726
10.553327,0.093263,34.254511
10.347946,-0.425744,33.40494
7.482237,0.40899,19.90371
24.43451,0.149568,113.34978
0.787773,0.773112,0.700148
1.742453,-0.460265,2.262034
9.55794,0.630059,27.581815
10.718402,-0.582234,35.347416
3.899087,0.291501,7.812346
15.504995,-0.798254,63.811719
5.082907,0.011453,11.134451
0.942728,-0.024336,0.949324
5.634075,0.416937,13.43552
16.684788,-0.09854,69.583024
18.298929,0.912811,76.431802
29.101629,-0.22605,159.470786
23.519189,0.255033,117.42349
13.904668,-0.593627,51.953942
11.801185,-0.539358,38.824103
0.530045,-0.22639,0.398831
27.037521,0.82423,143.770364
26.912901,-0.475954,139.830258
12.963762,-0.604496,46.770383
9.746202,-0.001603,30.209581
4.148201,0.923183,8.260892
28.684291,-0.288154,150.597517
21.581601,0.616255,100.176834
23.861928,0.145364,117.253325
21.254042,0.320121,101.050422
12.328475,0.1439,41.527048
17.13095,-0.531549,69.4388
26.098506,-0.634012,128.251157
18.774874,0.675837,84.071115
13.269428,-0.091379,49.992228
8.079402,-0.098474,23.306537
18.108152,-0.070224,76.447795
29.466057,0.649927,162.170427
14.17295,0.198463,55.105251
14.238072,0.704754,54.891155
13.147147,-0.226044,48.564145
1.346552,-0.997838,1.579447
25.222051,0.66431,130.816761
10.757708,0.670207,36.264515
10.472588,-0.974405,32.651884
18.837609,0.046987,80.661871
27.681202,0.579599,147.582327
28.545307,0.372861,147.245416
12.637649,-0.833383,44.651316
29.616789,-0.220067,167.173655
0.633874,-0.888251,0.509128
13.421543,-0.445452,52.61893
7.31569,-0.510247,21.028732
1.80742,-0.034836,2.44596
5.852675,0.288124,14.017043
13.131763,-0.824743,46.174162
3.801041,-0.704986,7.657103
1.42727,-0.288348,1.705675
23.001501,0.396034,115.505165
4.293295,-0.964871,8.693459
24.228111,0.999877,118.674993
28.38532,0.858071,148.888293
21.224593,0.816265,96.546964
14.858676,-0.996828,58.206579
15.61557,0.665849,60.736277
20.16965,-0.513161,92.264715
22.598932,0.682246,101.325891
2.717033,-0.517623,4.492322
22.844295,0.901348,109.621424
20.59963,0.357194,94.410201
19.517029,0.112823,85.433545
16.90122,-0.842657,68.625902
