f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,label,split
0.2351,-0.1500,0.7818,-3.4037,-0.3403,0.8820,0.5639,-0.0821,0.2548,0.6737,-0.3106,-0.6619,1.2529,0.0073,-0.5813,0.4574,-1.4482,0.0582,-1.3359,-0.4168,1,train
-0.7027,0.8836,-0.1753,-4.4883,1.7124,-0.6150,1.4625,-0.5125,-1.4344,1.8175,-0.4193,0.7509,1.1746,-1.2859,0.0756,-0.5598,0.5997,-0.0080,-1.2357,0.0616,1,train
-0.2840,0.5575,-0.5171,-3.7095,0.3478,0.1460,1.2508,0.9358,0.8323,0.7133,0.1585,-1.1338,1.0474,1.7109,0.2266,-0.2418,-0.0291,1.1897,0.2872,-0.9558,1,val
-0.7444,-0.1901,-0.8692,-4.9356,1.4588,1.0331,-1.5683,-0.9523,-0.4297,-0.3734,-1.3459,0.8759,-1.5697,0.6869,0.6888,-0.3518,-0.6338,0.0663,0.1524,-2.0439,1,test
0.5267,-0.0990,-0.3985,-4.8043,-0.6814,-0.7392,2.7387,-1.2184,1.5072,0.4762,0.2166,0.1993,-0.3640,1.5797,0.5056,-0.0203,-0.1118,0.2031,-1.1079,-0.3036,1,train
0.6142,0.5957,-1.8149,-3.7392,0.9747,-1.2575,-1.1481,0.9861,-0.1184,-0.4327,-1.1798,0.1748,-0.5359,0.2159,0.4243,0.6956,-0.3086,-0.5051,0.0373,-0.0880,1,train
-0.5098,-0.2241,-0.5648,-4.0261,0.1612,1.1359,-0.5158,0.5788,0.3461,0.1154,0.6719,-0.5373,0.5593,0.3003,-3.4059,0.3557,0.5945,1.9197,-1.0297,0.1022,1,train
-0.9403,1.1827,0.4481,-3.9245,-1.1645,-0.4007,2.3301,2.1196,-2.4165,-1.7749,0.6618,-0.0974,-0.6143,0.5996,0.1019,0.2892,0.2674,-1.0582,1.2968,-0.4424,1,val
0.6854,0.0452,0.1441,-3.8921,-1.7962,-0.3106,0.4282,-1.5734,-1.4536,1.0663,0.8010,-1.5093,0.4593,-0.0407,0.9656,-0.3112,-0.2107,-0.7296,0.1838,-0.1173,1,test
-0.3332,-0.7336,0.6194,-4.4698,-1.5217,-0.9406,1.0713,-0.4922,0.6424,0.7291,-0.4945,0.7495,0.5035,-0.0362,-0.6881,-0.0537,-1.2560,-0.2652,-0.5657,0.4371,1,train
-0.6258,0.8575,1.1797,-3.6179,-0.7233,0.5026,-2.4000,-0.5704,0.5790,1.9782,-0.7217,1.5116,2.3004,1.8634,-2.3210,1.0903,0.1943,1.0057,-0.1706,-0.6020,1,train
1.4877,0.8348,-0.2847,-3.6267,0.8591,0.5650,-0.0374,-0.6458,-0.7300,-0.4273,-0.5429,-1.5573,-1.3952,0.8721,-1.1047,-1.2946,-0.0395,1.4367,1.2529,-0.4055,1,train
-0.5282,-0.8990,-0.5413,-3.7774,-1.0519,-0.7710,-0.2547,-0.0245,-0.7581,-0.7806,-1.1191,-0.7438,0.5219,-0.2392,-3.0837,0.6147,-0.0653,-0.8640,-0.2508,-3.0057,1,val
1.1602,2.1247,2.1703,-4.5268,0.0409,0.7773,-1.2211,1.7380,-0.7174,0.3533,-1.1439,0.3658,-0.0145,1.0803,-1.1490,-0.0081,1.8143,-1.1885,0.3529,0.4385,1,test
-0.2658,1.4119,1.1391,0.5674,0.2686,-2.1428,0.0923,1.7917,1.0525,-1.3560,-2.0697,-0.6622,0.1662,-0.5492,-0.3060,0.3433,0.8967,0.2111,1.2517,-1.4224,2,train
0.4259,-1.4881,1.2527,-1.5975,-1.4455,1.1007,1.2964,0.3782,1.3569,1.1516,-1.1292,0.4851,1.4044,-0.1596,0.0742,-0.4644,0.7362,-0.5542,-0.5880,-1.2288,2,train
0.2209,0.4746,-0.3879,-1.0516,0.3420,-1.2115,1.2792,-0.4969,-0.4133,0.5156,1.5332,-0.0497,-0.0815,-0.9418,-0.3787,0.9518,0.8568,1.1230,-1.6490,0.8438,2,train
0.5979,-2.3819,-0.0971,-0.8875,1.2824,-0.9184,1.3101,-0.4413,1.9816,-0.4462,1.9120,-0.4897,-0.9868,0.9056,-0.4008,-0.0571,-1.3549,-0.3453,0.1160,-0.7100,2,val
-2.3166,0.9021,-0.4108,1.4851,-0.3524,-2.3130,-0.4523,0.2810,0.6027,-0.4653,-0.8029,0.4372,0.8355,-1.7606,-1.0580,-0.6780,1.7277,1.2458,0.8078,0.5012,2,test
1.1368,-0.4464,-0.8022,1.9590,-1.4630,-1.1247,0.2059,-0.9299,0.1823,-0.8504,0.1910,-0.6506,-1.1988,2.6910,-0.5062,1.0017,-0.0466,0.6874,-1.2755,-1.0527,2,train
1.0179,0.4523,-1.1889,0.8492,0.6032,2.0948,0.2424,0.9301,0.6242,0.7838,-0.0215,-0.4171,0.7220,1.2539,-1.1785,-1.1493,-0.0391,1.8256,-0.2074,-1.7173,2,train
0.7682,1.9721,0.1964,1.9989,-0.7263,-0.5773,0.1408,-1.2039,-0.2761,1.3510,1.1352,-0.3787,1.1280,0.9183,0.9136,0.2950,0.3130,-0.8319,-0.0639,0.1293,2,train
-0.2865,0.1720,0.2214,1.0737,-1.0360,-1.6577,0.2777,-0.3785,0.3413,-0.4690,1.1990,-0.2262,-1.1454,0.7633,1.6895,-1.9445,-0.1255,0.0760,1.0503,1.5196,2,val
-1.5716,0.6818,1.0246,0.4756,0.0862,-2.1872,2.4716,-1.2077,-1.5182,0.9942,0.2962,0.6851,0.3675,1.7110,1.4474,-0.5505,1.0197,-1.1836,-1.7188,1.2228,2,test
-2.1642,-0.0129,-0.6647,0.5193,-0.0518,-2.2123,-0.7145,0.7817,-0.9323,0.1364,-0.9921,0.4631,1.8090,0.5823,1.1341,0.4634,-0.9656,-0.2973,0.0781,0.4504,2,train
0.6261,-0.7199,0.0725,-0.0040,-1.1561,-0.2480,0.0575,0.1165,-0.0250,-2.1197,-1.4089,-0.8969,1.0092,-0.5752,0.6211,-1.0324,-0.8453,-0.4669,1.0765,-1.6656,2,train
0.4171,0.1444,-0.0098,0.7935,0.2979,-1.6751,0.6470,-0.7815,-0.3364,1.4714,2.4729,1.4722,0.4372,-0.7774,-0.7598,1.6868,0.3417,-1.3925,1.5915,0.5927,2,train
0.4154,-2.1683,-0.7361,-0.1369,-0.1627,0.4698,-0.6704,-0.0928,-0.0509,-0.0855,-1.0375,-1.2274,-2.5934,0.3420,-0.1972,0.2112,-1.0568,0.0095,-0.9742,-1.0143,2,val
0.6477,0.5929,-0.0370,-0.3833,1.4148,-0.0385,-0.6331,-1.0899,0.3802,0.3278,-0.9139,2.3059,-2.1005,-0.8347,0.2502,1.0045,-1.8625,-0.4327,1.4532,1.4236,2,test
0.0436,-0.8860,0.4038,-1.0500,-2.0407,-2.3915,0.0613,-1.3240,1.1236,1.2999,1.0112,0.6650,1.1492,0.2732,0.8806,0.4780,0.7952,-1.0172,-0.6582,-0.9994,2,train
0.5161,-0.7879,-0.9893,-0.5753,0.8851,-0.9364,-0.2366,-0.6900,-0.1145,1.6151,-0.6869,-0.3499,1.7169,0.7324,-1.1407,1.1044,-1.2646,0.5688,-2.5387,-0.9965,2,train
-0.5932,-0.7229,0.0601,0.0091,-0.4645,-1.4045,1.8180,1.5110,0.3385,-1.1523,-0.5253,-0.2857,0.4971,1.6206,-0.5173,0.1556,-0.4259,0.1492,-0.6861,0.3878,2,train
-0.3913,-0.3230,0.1234,-1.3158,1.8312,-2.2292,-0.3542,-0.8830,1.5176,-0.4823,-0.5016,1.9097,-0.1135,-0.7760,0.0010,0.2027,-0.7440,-0.1772,-0.2040,0.7358,2,val
0.8473,-0.1160,0.8109,-0.2058,1.1752,-0.2508,-0.4208,1.2484,-1.5165,-0.9684,-0.7949,-0.1248,-1.2304,-1.2027,-1.8939,0.1224,-0.7661,2.2135,0.7864,-1.1442,2,test
0.1141,1.0922,-1.1101,1.1750,1.1133,-1.5128,-0.8476,-0.3733,0.2733,2.4314,1.8279,1.5172,-0.2126,-0.3221,0.3782,-0.2686,-0.4629,-0.2018,0.8582,-0.0604,2,train
-0.2563,-0.1881,-0.3243,1.2783,0.2411,0.3257,-0.1639,1.0771,-1.3829,-0.3973,-0.0532,-0.6296,-0.1078,-0.9221,-0.1562,-0.6634,0.0042,-0.2896,-0.9981,-0.4033,2,train
-1.2728,0.1046,1.2649,-0.2204,0.5592,-0.4112,-0.7975,1.3364,2.5327,-1.0233,2.1663,-0.7047,1.4747,-1.8141,1.1506,0.1467,-1.2813,-0.8205,-1.0466,-0.8966,2,train
-0.1731,-2.5136,-0.3055,0.4771,0.0968,0.1529,-1.8400,0.2520,0.0384,0.7336,-1.3395,-1.3072,-0.1632,0.0841,-1.8142,0.3750,0.0016,0.7458,-2.6180,0.5120,2,val
-0.4724,0.7927,1.7074,0.1609,-0.1022,0.0922,-0.8918,-0.1477,-0.5007,-0.9812,0.2024,2.0569,0.2566,0.5091,-0.0246,1.1417,0.1889,-0.8797,0.1075,1.4537,2,test
1.2138,-0.0634,2.0463,0.2907,0.6663,-2.1315,0.8479,-0.2209,-1.4811,0.3124,-1.2066,1.4953,0.8047,0.0245,0.7006,-2.6005,1.5520,-0.6459,0.6815,2.5855,2,train
-0.4097,0.3514,0.4302,-1.6924,-0.9299,1.2013,-0.5978,0.5651,-1.3703,-0.9100,-1.8257,0.2791,1.1712,0.1021,-0.2681,0.2505,0.4782,-0.2847,0.5652,1.9724,2,train
-0.5689,-1.2615,1.9360,0.9958,1.2311,-0.4796,-0.2193,0.9909,1.1339,1.1911,-1.0834,1.0443,-0.3447,-0.3517,0.3638,-0.3405,2.3396,0.5756,0.2782,-0.1828,2,train
-0.2226,0.5952,0.8771,0.8530,-1.2538,-1.2396,0.0943,-1.2196,0.3898,-0.1345,0.0676,0.3937,-0.6167,1.5747,1.0521,-0.5428,0.4783,0.7572,-0.7591,-0.3482,2,val
-2.5856,-1.3162,0.3401,0.6346,-0.9211,-0.3241,2.2372,0.2203,-0.0308,0.0807,-1.0084,0.5648,0.1910,0.7593,1.4457,0.0476,0.1933,0.3387,1.7595,-1.4545,2,test
-0.6197,0.1381,0.8480,0.0811,0.7507,-0.2790,-0.7051,-0.6519,-1.3783,0.2367,-0.3843,0.8569,0.9832,-0.8791,-1.0806,0.6212,-0.8713,0.2217,0.6244,-0.3762,2,train
-0.7680,0.4394,-0.4024,-2.8835,-0.1605,-1.3821,0.5944,-0.1218,-0.7220,-0.5067,-0.2938,0.7734,-0.2649,1.2506,0.8723,-0.7335,1.0492,-2.2616,0.0395,-0.9722,2,train
1.1714,0.0121,-0.1563,1.2974,-0.7528,-2.4424,0.9908,0.6282,-1.4226,0.1635,0.7965,-0.1513,-0.3936,0.1481,0.2256,-0.6953,0.8523,-1.5723,-0.0630,2.1584,2,train
-0.0262,-2.2715,-0.8206,-1.1450,0.0729,-1.9205,1.8561,-0.9156,-0.0174,0.2297,0.6572,0.9099,-1.5576,2.2117,-0.2981,-0.7085,-1.6405,-0.4346,-1.7688,0.1972,2,val
0.3363,-0.7808,0.0834,2.2435,1.1852,-0.9695,-0.9786,1.4766,-1.6905,-1.4077,1.3104,-0.5917,1.3632,0.5849,2.1939,1.8006,0.5958,-0.6237,0.6032,1.4164,2,test
-2.8949,-0.3707,-0.3610,-0.0507,-0.3437,-0.6149,-1.2639,0.4481,-1.9838,-2.1741,-1.0088,-0.7467,-0.8926,-0.6984,0.6199,0.5865,0.0849,0.2039,-0.6912,-0.9836,2,train
-0.4119,-1.1318,-0.3215,0.7307,0.5543,0.9114,-0.9307,-2.1991,-1.1099,2.0014,0.7038,-0.4373,1.3273,-0.4125,1.6775,-0.4022,-0.4044,0.7011,-1.1452,-0.1634,2,train
0.4394,-1.1039,-0.2501,-0.0258,-0.7577,-0.8384,1.2521,0.0485,0.8895,0.2962,0.1393,-0.7518,0.9653,1.3557,-0.4507,-0.8777,0.5235,0.1039,1.1286,0.4932,2,train
-1.3884,0.6218,0.0992,-1.2688,-1.4914,-2.9685,0.6224,-0.4371,-3.3283,-0.8813,-0.6382,-0.1123,0.0345,-0.3407,0.7421,1.0257,-0.2254,1.5788,-0.1275,-0.8677,2,val
-1.4364,-0.3017,-1.0625,-0.4327,0.1955,-4.1591,0.3915,0.2597,-0.2191,0.7147,0.3421,-0.3667,-1.0083,0.7312,0.7578,-1.4799,-0.7328,-1.1877,0.8289,-0.5785,2,test
1.5081,0.4527,0.2319,0.2425,-0.1817,0.0303,0.8933,1.2297,-0.4633,0.0927,1.8730,-0.5605,-1.3266,0.1115,-1.1491,2.6283,0.6211,0.5826,0.3638,1.9704,3,train
