id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,activity,split
22,0.529953,-0.166732,0.080004,2.900649,1.752721,0.501803,0.017317,1.122754,0.774733,-3.550040,2.012366,0.410179,-0.023952,train
23,3.331352,-0.566519,0.913155,-3.205468,-0.056965,0.042081,2.457453,2.264608,-0.052754,-0.404224,3.341004,0.098325,1.433828,train
24,3.542581,3.459091,0.472357,3.121561,2.601543,0.200013,1.845599,-1.785426,1.894446,-3.197431,0.307860,0.798514,1.218679,train
25,1.053318,-3.311647,0.872217,3.912539,-2.718448,0.219500,-2.884307,2.571774,1.273730,0.997131,2.311393,0.548265,1.684067,train
26,-0.282709,-2.683074,0.053958,-1.165458,2.358600,0.620408,1.968197,0.523275,-0.696345,-1.941364,3.768606,0.776995,0.096431,train
27,3.006192,-3.549914,0.161523,-0.909222,-3.076202,0.190187,2.809794,-3.481403,2.335289,-3.147032,0.031834,0.182656,0.154572,train
28,-0.176706,0.688860,0.969038,-3.552547,2.365327,0.788453,-2.133783,3.518675,2.606572,-3.440588,-0.992613,0.676835,1.671610,train
29,-0.765534,1.112378,0.008529,-0.323378,-1.655177,0.478026,3.595602,2.026234,0.030528,-0.024066,-1.238161,0.546631,0.033509,train
30,-1.293483,-1.702975,0.770302,-1.218437,-2.065391,0.704495,2.500878,0.598272,-0.028061,3.025317,-3.868613,0.886556,1.523632,train
31,1.690016,3.414532,0.311715,2.520236,-1.193697,0.208883,-2.587517,-2.887674,-3.030549,1.166004,0.095622,0.100873,0.390370,train
32,3.286133,2.354527,0.161041,0.045811,-3.826875,0.487832,-3.840942,0.326137,-2.563212,1.667749,0.413411,0.450730,0.196436,train
33,0.848196,3.651245,0.969752,-0.904198,-2.626041,0.462947,2.254327,1.020131,-0.335443,-2.374509,2.060787,0.631397,1.726860,train
34,-0.902038,-2.157431,0.007746,-0.905561,-3.243902,0.596998,3.202026,3.296921,3.168458,-1.903817,-2.823470,0.003537,-0.609480,train
35,-1.455569,-0.006414,0.700589,-1.910154,-2.963447,0.961591,3.645600,-1.152615,0.053209,-2.443646,1.732418,0.808127,1.154812,train
36,2.346647,0.581455,0.220190,-0.555825,1.644187,0.660060,-0.760007,0.575599,0.598615,1.482882,0.533589,0.234226,-0.033630,train
37,-0.917290,2.079003,0.622050,2.703349,-0.506551,0.454311,-3.478544,0.312030,-1.904538,-0.393895,0.796809,0.464888,0.996878,train
38,-1.341104,-2.942284,0.982022,2.599707,-0.263179,0.599232,-3.255104,0.608735,-0.245637,2.819015,-0.539489,0.386978,1.567712,train
39,-3.718100,-3.991353,0.839126,2.657239,-3.104087,0.641042,-1.183109,2.680830,-1.259909,-3.897621,0.448174,0.569363,1.413906,train
40,0.993295,0.187948,0.921926,2.318396,2.469558,0.532916,3.608164,1.491443,-0.676728,-3.333533,-1.792437,0.545898,1.631025,val
41,-3.910067,-3.553005,0.230046,3.501753,-0.465578,0.277274,-2.110252,-2.040987,-3.866397,3.123822,-3.593961,0.482582,0.488107,val
42,-2.504330,1.152495,0.698165,-0.637589,-0.543633,0.087629,-3.056959,-2.819944,-3.987920,-0.326325,-3.696358,0.355826,1.287960,val
43,3.426588,2.245549,0.134454,-3.859485,2.445282,0.999938,1.612184,-2.909905,3.565069,3.432284,1.636254,0.908132,-0.068144,val
44,-1.158845,-2.322100,0.490191,-3.987313,0.125406,0.832924,-1.104704,-1.757024,1.352094,-2.052645,2.006446,0.841123,0.725514,val
45,-3.348947,-2.070491,0.759067,3.605391,-2.492732,0.060167,1.467914,1.428775,1.176304,0.451292,1.187230,0.122783,1.209169,val
46,0.471709,-3.370630,0.445029,-2.001044,-3.672600,0.871700,1.566388,-3.158752,3.769369,-2.190399,1.548096,0.777786,0.638639,val
47,-3.033425,-0.342615,0.403563,2.474293,0.676859,0.374456,-0.593550,1.910992,-0.492240,1.416281,-2.701496,0.594814,0.757509,val
48,-2.678728,-1.879537,0.595999,2.902596,-3.139886,0.311990,1.816255,0.404149,3.529220,-2.490182,-1.476201,0.341906,1.001831,val
49,-3.870058,1.023503,0.672278,-2.146581,3.225634,0.799528,2.560539,-0.344846,-0.417208,-2.559491,0.327545,0.777911,1.236008,val
50,2.210203,1.181181,0.251954,-2.539808,1.541348,0.848674,-1.370537,-2.084645,1.855050,-0.493726,-0.199873,0.077608,-0.263825,val
51,1.987173,-3.249810,0.488024,2.790370,-0.450849,0.473823,2.843650,-0.861774,2.892636,-0.196261,-2.158738,0.276534,0.658032,val
52,1.319576,-2.527055,0.890317,1.029827,-0.481355,0.164902,-2.402319,-3.961977,-1.057773,-1.876985,-3.503190,0.990068,2.101593,val
53,-3.131244,3.635372,0.396105,-1.716784,-0.708789,0.125989,-3.969062,-1.226894,1.826863,2.458075,-1.033994,0.650079,0.919387,val
54,-1.074990,-1.481929,0.767301,-1.830566,-2.811882,0.227638,-0.207579,1.274343,-2.285665,-2.280909,3.913554,0.899713,1.808764,val
55,-2.467446,3.473064,0.443232,-0.417558,-1.041264,0.133256,0.943076,1.426066,2.467699,3.218752,-3.217153,0.379924,0.908569,val
56,0.748008,1.680630,0.765373,-3.173258,-0.099029,0.260367,-2.031916,0.778008,1.822840,0.946678,-3.348565,0.732366,1.522866,val
57,-3.263388,1.834680,0.996170,-2.209795,3.508100,0.378337,-2.213264,-2.523947,1.116514,2.677726,1.274839,0.960154,2.094364,val
58,1.786844,-1.280111,0.840906,-2.740073,3.239275,0.580115,-1.100099,-0.639871,2.091884,-2.014953,0.323078,0.831482,1.690107,val
59,0.135782,1.266756,0.159606,-0.757139,-1.715998,0.107509,-3.555563,-2.565668,0.752330,0.510039,1.082356,0.637554,0.707844,val
60,2.220599,1.114922,0.901715,-2.182339,-3.729098,0.712808,-1.041127,-2.248892,-1.701337,-1.060817,-0.426011,0.413212,1.372263,val
61,3.093787,-3.149225,0.226869,-0.136304,-1.670439,0.660848,-3.649605,2.580087,2.200470,-0.777602,-1.407080,0.840256,0.499802,val
62,-0.390693,-0.082936,0.990269,0.364641,-2.066027,0.189646,0.002175,0.602805,2.892015,-3.188257,3.177565,0.077840,1.450281,val
63,-3.516337,0.219350,0.180262,2.851447,1.031048,0.087691,3.792859,0.844773,2.505985,1.386987,-2.270729,0.021683,0.116893,val
64,3.866252,-1.780335,0.953586,2.027164,-1.901353,0.719718,-1.674593,-0.977202,3.668896,-2.230485,-1.749508,0.328650,1.399593,test
65,-3.720293,-0.461399,0.672822,-2.532652,-0.446802,0.243007,1.886742,-2.547254,-0.530772,0.014221,2.469593,0.201824,1.076346,test
66,0.964260,-2.093779,0.838215,0.382076,-0.737724,0.907937,2.585102,-1.256729,-2.392588,-2.248255,-3.987067,0.298848,1.103048,test
67,3.879098,-2.063654,0.502574,0.476334,-3.207940,0.860119,1.704900,0.815038,2.125599,-1.097964,-3.497700,0.513616,0.603703,test
68,0.057411,-3.752637,0.520239,-2.245736,2.729158,0.982498,-0.618356,2.047155,-1.996432,1.387161,2.460695,0.021713,0.117094,test
69,-3.329791,2.736725,0.024407,3.137148,-2.374442,0.044450,2.843065,-1.953149,2.817334,1.284882,3.165071,0.830095,0.659310,test
70,1.727021,0.616618,0.942464,0.256338,1.129801,0.891761,-2.296938,3.003668,-3.879903,-3.905858,-0.519003,0.612191,1.564324,test
71,2.576740,1.415058,0.723257,-0.528859,2.397977,0.079803,2.863832,-1.026854,3.533631,2.790511,2.021875,0.594781,1.507563,test
72,-3.516884,2.381369,0.109127,0.554960,-1.783492,0.538323,1.621550,2.339950,3.065942,-2.690784,0.944427,0.506899,0.084236,test
73,-2.927457,1.113464,0.558745,2.842577,-0.872895,0.121314,-2.672304,-3.002621,-1.435978,3.622133,-1.208315,0.395931,1.047691,test
74,3.271780,0.859181,0.458826,-1.517954,-3.059696,0.443858,-0.883515,-2.998266,3.816338,3.483942,-1.962460,0.167702,0.532757,test
75,2.036738,-0.964797,0.552911,-2.883644,2.206356,0.659827,-1.138452,-1.099234,3.547312,-2.066529,-3.324711,0.987771,1.178834,test
76,-0.026556,1.505098,0.906285,3.300539,-0.492505,0.009216,3.501986,-2.989141,-0.569059,-1.931355,-0.214744,0.341099,1.694542,test
77,3.408522,-2.873899,0.131095,1.703472,3.192570,0.656848,-2.063755,-0.679029,3.692326,-0.923144,2.775130,0.344394,-0.218511,test
78,-1.453543,2.797727,0.164122,-1.264062,2.811267,0.831285,-0.873266,-1.286606,-0.442555,1.448634,-1.070897,0.755834,0.114855,test
79,-0.726702,-1.312139,0.139066,-2.321638,2.760369,0.703194,-1.596086,2.501973,-2.189342,0.201954,-1.877275,0.497841,0.023528,test
80,-1.902085,-1.556005,0.252491,2.172242,2.588843,0.668900,-1.441204,0.918739,0.337052,-3.616942,-3.643292,0.831926,0.472222,test
81,2.050814,-1.476190,0.241100,3.855075,-1.682527,0.287390,-3.860831,3.220384,3.947920,-1.176149,-0.347869,0.667331,0.685688,test
82,2.117879,2.144674,0.435591,2.966196,3.792568,0.594671,-1.730071,1.608940,-2.907829,-2.394696,-2.031289,0.359328,0.568388,test
83,-3.955022,2.448512,0.132207,2.091672,1.634885,0.539209,1.683967,0.561435,-3.418858,-0.927744,-2.314396,0.369736,-0.073763,test
84,0.011830,1.446852,0.497474,-3.833222,3.558784,0.678868,-3.430641,3.671745,-2.112645,-3.165120,1.285787,0.188025,0.497173,test
85,-0.306804,1.227542,0.929172,-2.780025,0.393728,0.821758,-0.904493,0.231026,3.033089,-2.262760,-2.242353,0.667438,1.539962,test
86,-0.663295,0.818806,0.412722,-0.557438,-1.851506,0.339122,-1.837133,1.784466,-2.228886,-1.148837,-1.785486,0.137246,0.416438,test
87,0.714002,-0.593044,0.659635,-2.835334,-0.217687,0.545364,0.821666,-0.601763,0.505280,-1.516457,0.299719,0.351786,0.949174,test
88,0.546228,0.505512,0.658189,-0.580843,2.287639,0.839655,1.248435,3.831591,2.767030,2.970292,1.941169,0.056710,0.489431,test
89,1.348371,0.728428,0.886339,0.212323,2.737306,0.370141,2.396043,-0.309522,1.741506,-2.393071,-0.220338,0.498240,1.617521,test
